query_lost_id,query_item_name,query_category,query_location,candidate_id,candidate_source,candidate_item_name,candidate_category,candidate_location,rank,raw_score,final_score,competition_decay,image_similarity,text_similarity,detail_similarity,category_similarity,item_type_similarity,location_similarity,brand_similarity,color_similarity,description_similarity,event_time_similarity,available_for_match,is_already_matched,is_linked_to_query,linked_lost_id,automatic_eligible,selected_automatic_match,item_type_conflict,brand_conflict,color_conflict,confirmed_color_conflict,color_review_required,visual_type_conflict,visual_type_review_required,warning
7206,Wallet,Personal Items (Wallets/Keys),201,7210,found,wallet,Personal Items (Wallets/Keys),canteen,1,0.8875,0.8275,0.06,1.0,0.8437,0.6875,1.0,1.0,0.0,,1.0,,0.0,True,True,True,7206,True,True,False,False,False,False,False,False,False,
7206,Wallet,Personal Items (Wallets/Keys),201,7216,found,Wallet,Personal Items (Wallets/Keys),201,2,0.8761,0.8161,0.06,0.9107,0.8638,0.8125,1.0,1.0,1.0,,1.0,,0.0,True,False,False,,True,False,False,False,False,False,False,False,False,
7206,Wallet,Personal Items (Wallets/Keys),201,4082,pending_found,wallet,Personal Items (Wallets/Keys),court,3,0.8598,0.7998,0.06,0.9155,0.884,0.6875,1.0,1.0,0.0,,1.0,,0.0,True,False,False,,True,False,False,False,False,False,False,False,False,
7206,Wallet,Personal Items (Wallets/Keys),201,7217,found,Wallet,Personal Items (Wallets/Keys),Library,4,0.8331,0.7731,0.06,0.9115,0.8064,0.6875,1.0,1.0,0.0,,1.0,,0.0,True,False,False,,True,False,False,False,False,False,False,False,False,
7206,Wallet,Personal Items (Wallets/Keys),201,7207,found,Wallet,Personal Items (Wallets/Keys),Canteen,5,0.7972,0.75,0.0472,0.8131,0.8418,0.6875,1.0,1.0,0.0,,1.0,,0.0,True,False,False,,True,False,False,False,False,False,False,False,False,
7206,Wallet,Personal Items (Wallets/Keys),201,7204,found,wallet,Personal Items (Wallets/Keys),canteen,6,0.711,0.711,0.0,0.7317,0.812,0.5,1.0,1.0,0.0,,0.0,,0.0,True,False,False,,False,False,False,False,True,False,True,False,False,Color evidence is inconsistent or uncertain; this pair is not treated as a match.
7206,Wallet,Personal Items (Wallets/Keys),201,7212,found,Wallet,Personal Items (Wallets/Keys),Canteen,7,0.6974,0.6974,0.0,0.7289,0.7736,0.5,1.0,1.0,0.0,,0.0,,0.0,False,True,False,7202,False,False,False,False,True,False,True,False,False,Color evidence is inconsistent or uncertain; this pair is not treated as a match.
7206,Wallet,Personal Items (Wallets/Keys),201,7208,found,wallet,Personal Items (Wallets/Keys),6th floor lobby,8,0.6884,0.6884,0.0,0.7396,0.7292,0.5,1.0,1.0,0.0,,0.0,,0.0,True,False,False,,False,False,False,False,True,False,True,False,False,Color evidence is inconsistent or uncertain; this pair is not treated as a match.
7206,Wallet,Personal Items (Wallets/Keys),201,7203,found,khaki wallet,Personal Items (Wallets/Keys),5th floor,9,0.6776,0.6776,0.0,0.7003,0.7401,0.5234,1.0,1.0,0.0,,0.125,,0.0,True,False,False,,False,False,False,False,True,False,True,False,False,Color evidence is inconsistent or uncertain; this pair is not treated as a match.
7206,Wallet,Personal Items (Wallets/Keys),201,7211,found,Wallet,Personal Items (Wallets/Keys),Canteen,10,0.5956,0.5956,0.0,0.5118,0.7694,0.5188,1.0,1.0,0.0,,0.0,,0.1,True,False,False,,False,False,False,False,True,False,True,False,False,Color evidence is inconsistent or uncertain; this pair is not treated as a match.
7206,Wallet,Personal Items (Wallets/Keys),201,7199,found,keys,Personal Items (Wallets/Keys),canteen,11,0.4499,0.0,0.4499,0.6474,0.8225,0.4875,1.0,0.2,0.0,,1.0,,0.0,False,True,False,7198,False,False,True,False,False,False,False,False,False,Item type differs too much for matching.
7206,Wallet,Personal Items (Wallets/Keys),201,7214,found,mini fan,Electronics (Gadgets/Laptops),lobby,12,0.4499,0.0,0.4499,0.7659,0.6401,0.1875,0.0,0.0,0.0,,1.0,,0.0,True,False,False,,False,False,True,False,False,False,False,False,False,Item type differs too much for matching.
7206,Wallet,Personal Items (Wallets/Keys),201,7215,found,Fan,Electronics (Gadgets/Laptops),Canteen,13,0.4499,0.0,0.4499,0.7963,0.6321,0.1219,0.0,0.0,0.0,,0.65,,0.0,False,True,False,7213,False,False,True,False,False,False,False,False,False,Item type differs too much for matching.
7206,Wallet,Personal Items (Wallets/Keys),201,4077,pending_found,bag charm,Personal Items (Wallets/Keys),ground floor,14,0.4499,0.0,0.4499,0.4818,0.7192,0.2833,1.0,0.1333,0.0,,0.0,,0.0,True,False,False,,False,False,True,False,True,False,True,False,False,Item type differs too much for matching.
7206,Wallet,Personal Items (Wallets/Keys),201,4078,pending_found,airpods,Electronics (Gadgets/Laptops),room 303,15,0.4499,0.0,0.4499,0.8168,0.64,0.0612,0.0,0.1538,0.1818,,0.0,,0.0,True,False,False,,False,False,True,False,True,False,True,False,False,Item type differs too much for matching.
7206,Wallet,Personal Items (Wallets/Keys),201,4079,pending_found,glasses,Other,library,16,0.4499,0.0,0.4499,0.6756,0.5851,0.0268,0.0,0.0,0.0,,0.1429,,0.0,True,False,False,,False,False,True,False,True,False,True,False,False,Item type differs too much for matching.
